zip_code,start_date,appts_per_listing
78002,2018-03-01,2.571428571428572
78002,2018-04-01,2.2
78002,2018-04-16,2.7999999986
78002,2018-05-01,2.4
78002,2018-05-16,2.1
78002,2018-06-16,2.25
78002,2018-07-01,2.466666666666667
78002,2018-08-01,3.1818181818181817
78002,2018-08-16,3.6666666666666665
78002,2018-09-01,1.5
78002,2018-09-16,2.3076923076923075
78002,2018-10-01,1.2727272727272727
78002,2018-10-16,4.142857142857143
78002,2018-11-01,2.4166666666666665
78002,2018-11-16,3.6666666666666665
78002,2018-12-01,4.5
78002,2018-12-16,3.333333333333333
78002,2019-01-01,3.555555555555556
78002,2019-01-16,2.2
78002,2019-02-01,3.333333333333333
78002,2019-02-16,1.8
78002,2019-03-01,1.5714285714285714
78002,2019-03-16,3.0
78002,2019-04-01,1.75
78002,2019-04-16,1.0
78002,2019-05-01,4.666666666666667
78002,2019-05-16,3.8
78002,2019-06-01,2.7777777777777777
78002,2019-06-16,1.5
78002,2019-07-01,2.75
78002,2019-07-16,1.7142857142857142
78002,2019-08-01,3.0
78002,2019-08-16,1.5
78002,2019-09-01,1.8888888888888888
78002,2019-09-16,3.0
78002,2019-10-01,1.3333333333333333
78002,2019-10-16,2.333333333333333
78002,2019-11-01,2.2857142857142856
78002,2019-11-16,1.6
78002,2019-12-01,1.8888888888888888
78002,2019-12-16,1.5714285714285714
78002,2020-01-01,3.0
78002,2020-01-16,2.555555555555556
78002,2020-02-01,2.9166666666666665
78002,2020-02-16,3.5
78002,2020-03-01,1.6
78002,2020-03-16,1.2857142857142858
78002,2020-04-01,2.5
78002,2020-04-16,2.333333333333333
78002,2020-05-01,1.75
78002,2020-05-16,3.090909090909092
78002,2020-06-01,1.6666666666666667
78002,2020-06-16,2.0
78002,2020-07-01,3.6666666666666665
78002,2020-07-16,5.142857142857143
78002,2020-08-01,2.0
78002,2020-08-16,2.4
78002,2020-09-01,2.1666666666666665
78002,2020-09-16,1.8
78002,2020-10-01,1.6666666666666667
78002,2020-10-16,2.0
78002,2020-11-01,2.8
78002,2020-11-16,2.375
78002,2020-12-01,1.8571428571428568
78003,2018-03-01,2.088888889015488
78003,2018-04-01,2.054054054054054
78003,2018-04-16,2.6666666666666665
78003,2018-05-01,2.2424242424242418
78003,2018-05-16,1.7894736842105263
78003,2018-06-16,1.9999999996341464
78003,2018-07-01,2.2727272724321135
78003,2018-08-01,1.794871794871795
78003,2018-08-16,1.92500000028875
78003,2018-09-01,1.8857142857142857
78003,2018-09-16,2.147058823339965
78003,2018-10-01,2.064516129032258
78003,2018-10-16,1.7857142852359695
78003,2018-11-01,2.5517241386142544
78003,2018-11-16,1.6052631578313712
78003,2018-12-01,1.8
78003,2018-12-16,2.1034482761340665
78003,2019-01-01,2.0
78003,2019-01-16,2.2894736842105257
78003,2019-02-01,2.051282051228259
78003,2019-02-16,1.8974358972273884
78003,2019-03-01,2.0714285710586737
78003,2019-03-16,1.6666666663194445
78003,2019-04-01,2.1636363633413223
78003,2019-04-16,2.4418604651162794
78003,2019-05-01,1.918918918529949
78003,2019-05-16,1.9183673469387759
78003,2019-06-01,1.848484848694904
78003,2019-06-16,2.0370370370370368
78003,2019-07-01,1.5384615384615383
78003,2019-07-16,1.7916666666666667
78003,2019-08-01,1.8125
78003,2019-08-16,1.90625
78003,2019-09-01,1.9166666666666667
78003,2019-09-16,1.50000000028125
78003,2019-10-01,1.24
78003,2019-10-16,1.8125
78003,2019-11-01,1.5405405405405406
78003,2019-11-16,2.3846153846153846
78003,2019-12-01,2.4411764700497405
78003,2019-12-16,2.0
78003,2020-01-01,2.7249999999814203
78003,2020-01-16,2.0000000002027027
78003,2020-02-01,2.02040816295606
78003,2020-02-16,1.731707316756395
78003,2020-03-01,2.230769230769231
78003,2020-03-16,2.0
78003,2020-04-01,1.8000000004319998
